Route_name,State_Route_link
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
Chandigarh to Jammu (j and k),https://www.redbus.in/bus-tickets/chandigarh-to-jammu
Jammu (j and k) to Amritsar,https://www.redbus.in/bus-tickets/jammu-to-amritsar
Amritsar to Jammu (j and k),https://www.redbus.in/bus-tickets/amritsar-to-jammu
Jammu (j and k) to Chandigarh,https://www.redbus.in/bus-tickets/jammu-to-chandigarh
Jaipur (Rajasthan) to Delhi,https://www.redbus.in/bus-tickets/jaipur-to-delhi
Jammu (j and k) to Kishtwar,https://www.redbus.in/bus-tickets/jammu-to-kishtwar
Haridwar to Jammu (j and k),https://www.redbus.in/bus-tickets/haridwar-to-jammu
Jammu (j and k) to Poonch,https://www.redbus.in/bus-tickets/jammu-to-poonch
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar
Poonch to Jammu (j and k),https://www.redbus.in/bus-tickets/poonch-to-jammu
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu
Jaipur (Rajasthan) to Jammu (j and k),https://www.redbus.in/bus-tickets/jaipur-to-jammu
